doc_id,file_name,sentence
1,United Health Group.pdf,"Introduction A message from our CEO  A message from our CSO  2021 sustainability highlights   Our commitments About UnitedHealth Group  Sustainability at UnitedHealth Group 
Helping to Build a Modern,   High-Performing Health System  Advancing health equity  Achieving better health outcomes Expanding access to care Improving health care affordability Enhancing the health care experience Building healthier communities 
Environmental Health  Our path to net-zero operations Leading systemic change across   the health system Minimizing the use of paper in the  consumer and provider experience Diverting waste from landfills Water efficiency and reduction 
Our People and Culture  Advancing diversity, equity and inclusion Employee health and well-being Developing and growing our talent 
Responsible Business Practices  Corporate governance Compliance and ethics Supply chain management Supplier diversity Data privacy and security Responsible use of artificial intelligence  and machine learning Public policy"
1,United Health Group.pdf,"At UnitedHealth Group, we believe a healthy  population is at the very heart of the idea  of sustainability in our society."
1,United Health Group.pdf,"The more  than 350,000 people across Optum and  UnitedHealthcare are committed to furthering  our mission to help people live healthier lives  and to help make the health system work better  for everyone."
1,United Health Group.pdf,"Given our reach and resources – and the  millions of people we touch each day – we feel  a deep sense of responsibility to chart a more  sustainable path forward, helping to build a  modern, high-performing health system that  improves access, affordability, outcomes and  experiences for people who depend on it."
1,United Health Group.pdf,"That’s  what makes a health care system sustainable,  and it is embedded in our mission and  throughout our business strategy."
1,United Health Group.pdf,"This report, told through the stories of our  colleagues and partners – in their own words,  work and deeds – is our way of sharing  our progress."
1,United Health Group.pdf,"It is a story of partnership,  collaboration and investment seeking to   improve the experiences of those who rely   on the health system."
1,United Health Group.pdf,"It is also a story of humility, as there is so much  more work left to do."
1,United Health Group.pdf,"But as you will see in  the pages of this report, my colleagues find a  profound sense of purpose and inspiration in  this work."
1,United Health Group.pdf,"We approach these challenges with  determination, intensity and focus – setting  clear, measurable goals and objectives, raising  the bar at every point of progress and holding  ourselves accountable when we fall short."
1,United Health Group.pdf,"To drive greater alignment and coordination  across our enterprise efforts, in February we  appointed Patricia L. Lewis to serve as our  first chief sustainability officer and lead this  important work."
1,United Health Group.pdf,"The goals, actions and initiatives outlined in this  report are bold ambitions."
1,United Health Group.pdf,But bold ambitions  are what these challenges require – and that is  what inspires my colleagues to carry this work  forward every day.
1,United Health Group.pdf,Underpinning all our efforts are strong  governance practices.
1,United Health Group.pdf,"UnitedHealth Group  has a long-standing history of board diversity  and independence and of championing ethics,  compliance and equitable workplace policies."
1,United Health Group.pdf,"We now have newly expanded board oversight  for ESG, including our corporate citizenship  activities and the environmental and climate  change initiatives described in this report."
1,United Health Group.pdf,"In the following pages, you’ll see evidence of  our progress and of our ambition."
1,United Health Group.pdf,"You’ll see  enhanced transparency, clear commitments  and measurable goals."
1,United Health Group.pdf,You’ll see how far we’ve  come and where we have yet to go.
1,United Health Group.pdf,"Despite the many challenges we face as a  society, what gives me great confidence and  hope is the phenomenal talent, expertise and  steadfast commitment to our mission I see in  our team every day."
1,United Health Group.pdf,We touch virtually every  aspect of the health system.
1,United Health Group.pdf,We understand  what an extraordinary privilege it is for a person  to entrust us with their care.
1,United Health Group.pdf,We are in this to  help people – our families and yours – for today  and far into the future.
1,United Health Group.pdf,"As one of the world’s leading health care  organizations, we understand the responsibility  we have to our stakeholders and the people  we serve to uphold and advance every facet of  our sustainability strategy."
1,United Health Group.pdf,It is integral to our  mission and inextricably linked with our priorities  for long-term growth.
1,United Health Group.pdf,"We see our company, together with a broad  spectrum of partners, as well positioned to help  advance health equity."
1,United Health Group.pdf,"We believe every person  deserves the opportunity to live their healthiest  life – and we are determined to do our part to  break down barriers, whether social, economic,  environmental or otherwise, wherever they exist."
1,United Health Group.pdf,This means closing gaps in care and connecting  patients and members to the resources and  support they need to stay healthy.
1,United Health Group.pdf,It means  addressing the social determinants of health –  connecting individual people to critical   resources and working at the community level   to help solve systemic challenges.
1,United Health Group.pdf,"It means  building a robust, capable and compassionate  health workforce as diverse as the communities  we’re fortunate to serve."
1,United Health Group.pdf,We must also be conscious and judicious   about the resources we use and continually  refine our processes and operations to reduce  the footprint we leave behind.
1,United Health Group.pdf,"Once again, the  beneficiaries of thoughtful resource stewardship  especially include those who are already  marginalized, in particular poor communities   and communities of color."
1,United Health Group.pdf,Our approach to sustainability  reflects our belief that the  health of any society can be  measured only by the health  and well-being of its people.
1,United Health Group.pdf,• Reach operational net-zero   by 2035.
1,United Health Group.pdf,• Achieve a 60% reduction in  scope 1 and scope 2 emissions  by 2030.
1,United Health Group.pdf,• Commit to the Science Based  Targets initiative (SBTi) Net-  Zero Standard.
1,United Health Group.pdf,• Invest and source 100% of our  global electricity demand with  renewable sources by 2030.
1,United Health Group.pdf,"55%+ of our outpatient surgeries  and radiology services will be  delivered at high-quality, cost- efficient sites of care by 2030."
1,United Health Group.pdf,"Our progress  50% of outpatient surgeries and  radiology services were delivered   at high-quality, cost-efficient   sites of care in 2021."
1,United Health Group.pdf,"$100 million from the   United Health Foundation   to create a new health  workforce diversity program  and train 10,000 clinical  professionals by 2033."
1,United Health Group.pdf,UnitedHealth Group is a health care and well-being company  with a mission to help people live healthier lives and help  make the health system work better for everyone.
1,United Health Group.pdf,"We are 350,000 colleagues in two distinct and  complementary businesses working to help build a modern,  high-performing health system through improved access,  affordability, outcomes and experiences."
1,United Health Group.pdf,"Optum delivers care aided by technology and data,  empowering people, partners and providers with the  guidance and tools they need to achieve better health."
1,United Health Group.pdf,Compassion  Walk in the shoes of the people we serve   and those with whom we work.
1,United Health Group.pdf,"UnitedHealthcare offers a full range of health benefits,  enabling affordable coverage, simplifying the health care  experience and delivering access to high-quality care."
1,United Health Group.pdf,"We work with governments, employers, partners and  providers to care for 147 million people and share a vision  of a value-based system that provides compassionate and  equitable care."
1,United Health Group.pdf,"At UnitedHealth Group, our mission calls us, our values guide us  and our culture connects us as we seek to improve care for the  consumers we are privileged to serve and their communities."
1,United Health Group.pdf,• The top-ranked company in the insurance and managed care  sector on Fortune’s 2022 World’s Most Admired Companies  list for the 12th consecutive year.
1,United Health Group.pdf,• Ranked as one of America’s most community-minded  companies for the 10th consecutive year in 2021 by the Civic  50 and named the leader in the Healthcare Sector category.
1,United Health Group.pdf,"• Named one of the Best Places to Work for LGBTQ Equality by  the Human Rights Campaign Foundation’s Corporate Equality  Index 2022, with a perfect score of 100."
1,United Health Group.pdf,"• Recognized with the 2021 Brillante Award for Corporate  Excellence by Prospanica for outstanding contributions to   the educational, economic and social well-being of the  Hispanic community."
1,United Health Group.pdf,• Named one of the best places to work for disability inclusion  in 2021 by the Disability Equality Index®.
1,United Health Group.pdf,• Ranked 4th in the nation on the 2022 Military Friendly®  Employers list and also as a Top Ten 2022 Military Spouse  Friendly® Employer.
