,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1559480131441287170,1559480131441287170,1660644011000.0,2022-08-16 10:00:11,+0000,,"On our latest podcast: @emilychangtv breaks down why Peloton wants customers to assemble their own bikes at home. Plus, activist investor Dan Loeb is calling for changes at Disney, and Google Maps misleads people searching for abortion clinics  https://t.co/2zqbQ2IvF3",en,[],[],21272440,21272440,technology,Bloomberg Technology,2,10,https://twitter.com/technology/status/1559480131441287170,['https://trib.al/5XOxUhU'],[],0,,False,0,0,1,,None,,,,,,,[],,,,
1,1559459700693168130,1559459700693168130,1660639140000.0,2022-08-16 08:39:00,+0000,,EXCLUSIVE: Singapore's leader-in-waiting @LawrenceWongST says the relationship between the US and China is on a “very worrying” trajectory in the wake of Nancy Pelosi's visit to Taiwan and China’s military drills.  https://t.co/iJWXUxYiRy  https://t.co/y7BMbFWLCF,en,[],[],21272440,21272440,technology,Bloomberg Technology,2,08,https://twitter.com/technology/status/1559459700693168130,['https://trib.al/NmqdqNX'],[],1,https://pbs.twimg.com/media/FaRQFdHaUAAT_4m.jpg,False,5,0,1,,None,,,,,,,[],,,,
2,1559436799126159362,1559436799126159362,1660633680000.0,2022-08-16 07:08:00,+0000,,JUST IN: Food-delivery giant Meituan plunges 10% on a report that Tencent plans to sell all or most of its $24 billion stake  https://t.co/OdRKWC6O5q,en,[],[],21272440,21272440,technology,Bloomberg Technology,2,07,https://twitter.com/technology/status/1559436799126159362,['https://trib.al/E9VzPTZ'],[],0,,False,5,0,2,,None,,,,,,,[],,,,
3,1559429499845980160,1559429499845980160,1660631940000.0,2022-08-16 06:39:00,+0000,,"EXCLUSIVE: How likely is a Chinese invasion of Taiwan? Singapore's leader-in-waiting says “no one deliberately wants to go into battle, but we sleepwalk into conflict”  https://t.co/k2e1ULz5tw via @BloombergTV  https://t.co/lAIe3k4jff",en,[],[],21272440,21272440,technology,Bloomberg Technology,2,06,https://twitter.com/technology/status/1559429499845980160,['https://bloom.bg/3dyJuGA'],[],1,https://pbs.twimg.com/media/FaPxnd1X0AMiO_l.jpg,False,2,1,1,,None,,,,,,,[],,,,
4,1559403425623904259,1559403425623904259,1660625723000.0,2022-08-16 04:55:23,+0000,,Chipmakers are bracing for a shift as a record-setting sales surge threatens to give way to the worst decline in a decade or more  https://t.co/sztpDfmo7F,en,[],[],21272440,21272440,technology,Bloomberg Technology,2,04,https://twitter.com/technology/status/1559403425623904259,['https://trib.al/5pzlbGs'],[],0,,False,4,1,2,,None,,,,,,,[],,,,
5,1559397091205857280,1559397091205857280,1660624213000.0,2022-08-16 04:30:13,+0000,,EXCLUSIVE: Singapore’s next prime minister Lawrence Wong signals that the wealthy may face more taxes.  “Everybody pays some form of taxes but certainly the ones with greater means — the rich and the higher-income — will have to pay more.”  https://t.co/n1PL936wqQ  https://t.co/tHsPz7L0Qo,en,[],[],21272440,21272440,technology,Bloomberg Technology,2,04,https://twitter.com/technology/status/1559397091205857280,['https://trib.al/f2dCWpP'],[],1,https://pbs.twimg.com/amplify_video_thumb/1559396570260709376/img/VXg872RXccSDokPI.jpg,False,3,0,5,,None,,,,,,,[],,,,
6,1559385734594936834,1559382178710036481,1660621505000.0,2022-08-16 03:45:05,+0000,,"About 100 Apple contract workers were let go in a rare move for the world’s most valuable company, sources say  https://t.co/MLfugrzKeE  https://t.co/plIgWsoyr7",en,[],[],21272440,21272440,technology,Bloomberg Technology,2,03,https://twitter.com/technology/status/1559385734594936834,['http://trib.al/Q7hZCA8'],['https://pbs.twimg.com/media/FaQND_aWYAAYOjs.jpg'],1,https://pbs.twimg.com/media/FaQND_aWYAAYOjs.jpg,False,2,1,1,,None,,,,,,,[],,,,
7,1559382178710036481,1559382178710036481,1660620657000.0,2022-08-16 03:30:57,+0000,,"EXCLUSIVE: Apple lays off contract recruiters in a rare move, as it reins in spending and hiring, sources say  https://t.co/0J6J7mmHqK  https://t.co/lpHmN7KPLl",en,[],[],21272440,21272440,technology,Bloomberg Technology,2,03,https://twitter.com/technology/status/1559382178710036481,['https://trib.al/Q7hZCA8'],['https://pbs.twimg.com/tweet_video_thumb/FaQJ0A_X0AEuRp3.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FaQJ0A_X0AEuRp3.jpg,False,2,3,5,,None,,,,,,,[],,,,
8,1559314454340423691,1559314454340423691,1660604511000.0,2022-08-15 23:01:51,+0000,,"Will Disney spin off ESPN like activist investor Dan Loeb is suggesting?  ""It’s always good to stir the pot – but if I were Bob Chapek: I’m keeping ESPN,"" says Insider Intelligence’s Paul Verna. He weighs in with @LianaBaker and @emilychangtv  https://t.co/7CHDqkeYpa  https://t.co/JFJEhnehWD",en,[],[],21272440,21272440,technology,Bloomberg Technology,1,23,https://twitter.com/technology/status/1559314454340423691,['https://trib.al/DTCHnAr'],[],1,https://pbs.twimg.com/amplify_video_thumb/1559304407522676737/img/Lk4hUG7M5yAuXqY6.jpg,False,3,0,3,,None,,,,,,,[],,,,
9,1559278762742763521,1559278762742763521,1660596001000.0,2022-08-15 20:40:01,+0000,,Hanwha QCells — one of the few solar-panel makers with US production — is considering sites for a massive new facility as the country prepares to incentivize cleantech manufacturing  https://t.co/0DC398352y,en,[],[],21272440,21272440,technology,Bloomberg Technology,1,20,https://twitter.com/technology/status/1559278762742763521,['https://trib.al/Rqgtod1'],[],0,,False,1,0,1,,None,,,,,,,[],,,,
10,1559272921176199169,1559272921176199169,1660594608000.0,2022-08-15 20:16:48,+0000,,Enlight Renewable Energy plans to create a joint venture with Israeli natural gas producer NewMed Energy that will develop renewable energy projects in North Africa and the Middle East  https://t.co/sIWieoZhxG,en,[],[],21272440,21272440,technology,Bloomberg Technology,1,20,https://twitter.com/technology/status/1559272921176199169,['https://trib.al/SSnC8qZ'],[],0,,False,2,0,3,,None,,,,,,,[],,,,
11,1559267202347458560,1559267202347458560,1660593245000.0,2022-08-15 19:54:05,+0000,,Meta’s proposed acquisition of a virtual reality company is headed for a court showdown in December in the FTC’s first preemptive challenge to a takeover by the tech giant  https://t.co/byeJOFholm,en,[],[],21272440,21272440,technology,Bloomberg Technology,1,19,https://twitter.com/technology/status/1559267202347458560,['https://trib.al/5iV1Ewg'],[],0,,False,3,0,1,,None,,,,,,,[],,,,
12,1559267200367824900,1559267200367824900,1660593245000.0,2022-08-15 19:54:05,+0000,,"Uber is increasing rates across the UK, with an average 5% increase in London fares, as the ride-hailing company works to attract more drivers  https://t.co/bdDLtkJX77",en,[],[],21272440,21272440,technology,Bloomberg Technology,1,19,https://twitter.com/technology/status/1559267200367824900,['https://trib.al/X3iV1g8'],[],0,,False,0,1,1,,None,,,,,,,[],,,,
13,1559260537183256582,1559260537183256582,1660591656000.0,2022-08-15 19:27:36,+0000,,"The recent crypto rally is cooling as optimism for Ethereum’s upcoming software upgrade slows, with a resulting drop in Bitcoin and Ether  https://t.co/4USzADXQv7",en,[],[],21272440,21272440,technology,Bloomberg Technology,1,19,https://twitter.com/technology/status/1559260537183256582,['https://trib.al/TQvqU7r'],[],0,,False,0,1,3,,None,,,,,,,[],,,,
14,1559253816327000064,1559253816327000064,1660590054000.0,2022-08-15 19:00:54,+0000,,"HBO is firing about 70 workers, or roughly 14% of its staff, the latest round of cutbacks after its parent company merged with Discovery  https://t.co/sYOngIWBio",en,[],[],21272440,21272440,technology,Bloomberg Technology,1,19,https://twitter.com/technology/status/1559253816327000064,['https://trib.al/Qpz3xAv'],[],0,,False,3,0,2,,None,,,,,,,[],,,,
15,1559243853655572481,1559243853655572481,1660587678000.0,2022-08-15 18:21:18,+0000,,The United Arab Emirates is turning to vertical farming and hydroponics to produce food for local livestock (via @climate)  https://t.co/ILZrAPgzX9,en,[],[],21272440,21272440,technology,Bloomberg Technology,1,18,https://twitter.com/technology/status/1559243853655572481,['https://trib.al/x2kmFjf'],[],0,,False,6,1,4,,None,,,,,,,[],,,,
