,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1559197266157752321,1559197266157752321,1660576571000.0,2022-08-15 15:16:11,+0000,,How have your company's technology improvement efforts most impacted your business over the past year?,en,[],[],29998941,29998941,economistimpact,Economist Impact,1,15,https://twitter.com/economistimpact/status/1559197266157752321,[],[],0,,False,3,1,0,,None,,,,,,,[],,,,
1,1559141569357381632,1559141569357381632,1660563292000.0,2022-08-15 11:34:52,+0000,,"Jordan’s agricultural production is vulnerable to increasing #waterstress, consuming more than 50% of the country's #freshwater. Water stress can lead to crop failure, increased import dependency &amp; inflated prices for consumers  https://t.co/w32Y90E8QE  Supported by @UNICEFJordan  https://t.co/M1vVb35ySk",en,"['waterstress', 'freshwater']",[],29998941,29998941,economistimpact,Economist Impact,1,11,https://twitter.com/economistimpact/status/1559141569357381632,['https://econ.st/3zVrk9C'],['https://pbs.twimg.com/media/FaMu_oSXwAEOwM4.jpg'],1,https://pbs.twimg.com/media/FaMu_oSXwAEOwM4.jpg,False,11,0,2,,None,,,,,,,[],,,,
2,1559122430525935618,1559122430525935618,1660558729000.0,2022-08-15 10:18:49,+0000,,"Digital technologies are useful in areas where there are workforce shortages in healthcare, but it needs to be integrated into existing systems. Listen to the latest episode on #HealthcareRedefined to learn from @KylieWoolcock, CEO @AusHealthcare  https://t.co/QH5JxyIfaQ  https://t.co/mjVcNMgq1S",en,['healthcareredefined'],[],29998941,29998941,economistimpact,Economist Impact,1,10,https://twitter.com/economistimpact/status/1559122430525935618,['https://econ.st/3QLeIJ6'],[],1,https://pbs.twimg.com/amplify_video_thumb/1559122404483407873/img/vPahT3Mr910_q23R.jpg,False,5,0,1,,None,,,,,,,[],,,,
3,1558377822086987784,1558377822086987784,1660381200000.0,2022-08-13 09:00:00,+0000,,"Throughout the tourist season, beaches see a significant increase in #plasticwaste. @Economist_WOI explores the links between #tourism, plastic and the #blueeconomy:  https://t.co/c43l5HtQsA",en,"['plasticwaste', 'tourism', 'blueeconomy']",[],29998941,29998941,economistimpact,Economist Impact,6,09,https://twitter.com/economistimpact/status/1558377822086987784,['https://econ.st/3BXDt0p'],[],0,,False,6,1,4,,None,,,,,,,[],,,,
4,1557726259840311296,1557726259840311296,1660225856000.0,2022-08-11 13:50:56,+0000,,Chemical pollution in the ocean is an urgent and underappreciated crisis that if left unaddressed will lead to considerable—and possibly irreversible—damage to the marine environment. What can be done?  https://t.co/t6DGf44n5v #ZeroMarinePollution  https://t.co/KHArmcJVNw,en,['zeromarinepollution'],[],29998941,29998941,economistimpact,Economist Impact,4,13,https://twitter.com/economistimpact/status/1557726259840311296,['https://econ.st/3JKKYK1'],[],1,https://pbs.twimg.com/amplify_video_thumb/1557726225309011970/img/NeKYMktG0ipgl2Z3.jpg,False,20,2,10,,None,,,,,,,[],,,,
5,1557651864828760065,1557651864828760065,1660208119000.0,2022-08-11 08:55:19,+0000,,Digital technologies have helped theatres expand #inclusion across borders and have helped the sector improve its environmental performance:  https://t.co/C0HOUA1l5k  #sustainabletheatre  https://t.co/ImIHL3IzSp,en,"['inclusion', 'sustainabletheatre']",[],29998941,29998941,economistimpact,Economist Impact,4,08,https://twitter.com/economistimpact/status/1557651864828760065,['https://econ.st/3vWWgVU'],['https://pbs.twimg.com/media/FZ3kHZVWQAAT9EF.jpg'],1,https://pbs.twimg.com/media/FZ3kHZVWQAAT9EF.jpg,False,6,0,2,,None,,,,,,,[],,,,
6,1557386409413066755,1557386409413066755,1660144829000.0,2022-08-10 15:20:29,+0000,,Dr Ben Widaja discusses the challenges ahead if hospitals and healthcare systems are to enable #virtualcare or #remotecare in the latest episode of our #HealthcareRedefined podcast:  https://t.co/wXULsYoezl  https://t.co/OLI91EXH9A,en,"['virtualcare', 'remotecare', 'healthcareredefined']",[],29998941,29998941,economistimpact,Economist Impact,3,15,https://twitter.com/economistimpact/status/1557386409413066755,['https://econ.st/3Ad7YhN'],[],1,https://pbs.twimg.com/amplify_video_thumb/1557386379788783616/img/sNXOKCOGV4Hp6luR.jpg,False,4,0,1,,None,,,,,,,[],,,,
7,1557323252674035712,1557323252674035712,1660129771000.0,2022-08-10 11:09:31,+0000,,"Trains instead of planes, bikes instead of taxis, plastic-free hotels - after years of pandemic #travel restrictions, and a growing awareness of the connection between covid-19 and #climatechange, people’s holiday habits are changing:  https://t.co/4q2wggJzgm #sustainabletourism  https://t.co/iRcfz4tHee",en,"['travel', 'climatechange', 'sustainabletourism']",[],29998941,29998941,economistimpact,Economist Impact,3,11,https://twitter.com/economistimpact/status/1557323252674035712,['https://econ.st/3vVDga9'],[],1,https://pbs.twimg.com/amplify_video_thumb/1557323228116402176/img/NcwG7q2flV0L2ykj.jpg,False,13,0,4,,None,,,,,,,[],,,,
8,1557301172255457280,1557301172255457280,1660124507000.0,2022-08-10 09:41:47,+0000,,"Explore the issues of #food affordability, availability, quality and safety, and natural resources and resilience across 113 countries in our Global #FoodSecurity Index:  https://t.co/xf0a7y1xTV  Sponsored by @corteva  https://t.co/U4LB85vXyH",en,"['food', 'foodsecurity']",[],29998941,29998941,economistimpact,Economist Impact,3,09,https://twitter.com/economistimpact/status/1557301172255457280,['https://econ.st/3BQVg9z'],['https://pbs.twimg.com/media/FZylKckXEAIoeq9.jpg'],1,https://pbs.twimg.com/media/FZylKckXEAIoeq9.jpg,False,5,0,3,,None,,,,,,,[],,,,
9,1556939488315809792,1556939488315809792,1660038275000.0,2022-08-09 09:44:35,+0000,,Do you intend to make more sustainable decisions when planning your holidays this year?,en,[],[],29998941,29998941,economistimpact,Economist Impact,2,09,https://twitter.com/economistimpact/status/1556939488315809792,[],[],0,,False,8,2,4,,None,,,,,,,[],,,,
